year,marriage_total,m_age_0-17,m_age_18-24,m_age_25-34,m_age_35-99,m_na,f_age_0-17,f_age_18-24,f_age_25-34,f_age_35-99,f_na
1960,1499581,226,798207,468734,232012,402,5015,949816,320916,223208,626
1970,1319227,2464,809466,328416,178797,84,19227,933308,201485,165041,166
1980,1464579,5115,902610,369768,187027,59,32591,1000767,272157,158944,120
1990,1319928,13536,692941,389739,223628,84,72073,779437,273108,195227,83
1991,1277232,13506,671857,367477,224314,78,81035,746538,253344,196240,75
1992,1053717,10611,561052,288860,193113,81,72697,615119,197645,168177,79
1993,1106723,9837,605349,295350,196116,71,75936,660105,200753,169863,66
1994,1080600,8844,578305,293623,199774,54,69237,638631,200070,172605,57
1995,1075219,8044,555859,303953,207319,44,63633,628329,205549,177655,53
1996,866651,6167,430853,254362,175246,23,47481,500163,170058,148921,28
1997,928411,5906,456025,279800,186531,149,43815,540549,188873,155055,119
1998,848691,4851,406962,264497,172250,131,37016,493365,178447,139743,120
1999,911162,3773,425864,297276,184148,101,32945,530779,202142,145226,70
2000,897327,3703,403851,303216,186133,424,29889,511446,212528,143193,271
2001,1001589,3576,432766,354058,210925,264,28438,561093,250614,161208,236
2002,1019762,3316,421283,374513,220447,203,25795,560025,267911,165936,95
2003,1091778,3415,437321,417253,233633,156,26428,596181,297448,171623,98
2004,979667,2812,376343,381937,218344,231,23428,519606,276317,160167,149
2005,1066366,2466,404383,430837,228522,158,21039,565910,314894,164370,153
2006,1113562,2274,414163,463047,234009,69,19930,589274,339162,165113,83
2007,1262500,1921,447090,538131,275288,70,18657,643038,406664,194053,88
2008,1179007,1914,395318,513547,268129,99,16794,571956,399097,191053,107
2009,1199446,1480,380613,539805,277507,41,14062,559805,428148,197399,32
2010,1215066,1131,372782,564776,276219,158,11698,554772,451318,197162,116
2011,1316011,1097,380457,633360,301045,52,11425,574707,514339,215505,35
2012,1213598,952,327000,594126,291469,51,10569,496335,492239,214427,28
2013,1225501,931,300195,619534,304826,15,9695,465626,521289,228879,12
20141),1225985,835,273994,632025,319131,0,9180,436993,534702,245110,0
2015,1161068,853,247588,606002,306625,0,8462,400952,513566,238088,0
2016,985836,705,195598,515092,274441,0,6825,323582,439084,216345,0
2017,1049735,556,199294,547631,302254,0,5886,334893,465798,243158,0
2018,893039,454,170440,456639,265506,0,4593,285576,386641,216214,15
2019,950167,564,177912,469220,302389,82,5141,296984,395684,252276,82
2020,770857,598,143938,372864,253457,0,4569,239507,314172,212609,0
2021,923550,614,174836,435526,312574,0,4453,289199,360245,269653,0